Date,Name,Year,Letterboxd URI,Rating
2024-12-24,Split,2016,https://boxd.it/dgSy,3.5
2024-12-24,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2024-12-24,Return of the Jedi,1983,https://boxd.it/27Vm,3.5
2024-12-24,The Departed,2006,https://boxd.it/28MA,5
2024-12-24,The Iron Claw,2023,https://boxd.it/w5Pm,4.5
2024-12-24,The Martian,2015,https://boxd.it/8SeG,4
2024-12-24,Mulholland Drive,2001,https://boxd.it/297o,3
2024-12-24,Scarface,1983,https://boxd.it/2b7g,5
2024-12-24,Bones and All,2022,https://boxd.it/tLd4,4
2024-12-24,Logan,2017,https://boxd.it/7Piy,4
2024-12-24,"Girl, Interrupted",1999,https://boxd.it/25ds,4
2024-12-24,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2024-12-24,The Virgin Suicides,1999,https://boxd.it/28JG,4
2024-12-24,Eyes Wide Shut,1999,https://boxd.it/2axs,4.5
2024-12-24,Beautiful Boy,2018,https://boxd.it/g76Q,5
2024-12-24,The Big Lebowski,1998,https://boxd.it/2b6C,4
2024-12-24,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2024-12-24,"I, Tonya",2017,https://boxd.it/dzR0,3.5
2024-12-24,The Suicide Squad,2021,https://boxd.it/fw6O,3
2024-12-24,Saving Private Ryan,1998,https://boxd.it/29ro,5
2024-12-24,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2024-12-24,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2024-12-24,The Florida Project,2017,https://boxd.it/dMG0,4.5
2024-12-24,American Beauty,1999,https://boxd.it/71Y,4
2024-12-24,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2024-12-24,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2024-12-24,Captain America: The First Avenger,2011,https://boxd.it/28b0,3.5
2024-12-24,The Worst Person in the World,2021,https://boxd.it/oyws,4
2024-12-24,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2024-12-24,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2024-12-24,Smile,2022,https://boxd.it/xjfE,3.5
2024-12-24,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2024-12-24,The Conjuring,2013,https://boxd.it/4sr2,3.5
2024-12-24,The Hangover,2009,https://boxd.it/1GjK,4
2024-12-24,The Handmaiden,2016,https://boxd.it/948A,4
